Cruise# ostrich2015ostrich_2015
Date: 06/11/15

CTD probe# 0164
DVL# 600
Oxy Probe# 431449
Fluorometer# 2611
Irradiance Probe# 5
Flight Selection = Depth Undulate 
 
Time	Pressure (dbar)	Depth (m)	Temp (°C)	Salinity (PPT)	Fluoro (volts)	Oxygen (ml/l)	Irrandiance (UE/cm²)	Horizontal vel in water (m/s)	Vertical vel (m/s)	Vol imaged (m3)	Altitude (m)	Pitch (°)	Roll (°)	Heading (°)	Lat (decimals)	Long (decimals)	Rel Normal Velocity (mm/s)	Trans Velocity (mm/s)	Long. Velocity (mm/s)	Normal Velocity (mm/s)	Wing Fin Angle (°)	Roll Fin Angle (°)
14:52:03.35	1.09	1.09	28.24	36.28	0.03	3.9370	1.281553E-2	0.00	0.00	0.00	0.10	-9.37	5.34	94.40	24° 25'52.92N	81° 30'49.80W	0.00	0.00	0.00	0.00	-24.97	-20.67
14:52:03.76	1.09	1.09	28.24	36.28	0.03	3.9490	9.156360E-3	0.00	0.00	0.00	0.20	-0.99	2.36	82.80	24° 25'52.92N	81° 30'49.80W	0.00	0.00	0.00	0.00	-22.04	0.01
14:52:04.32	1.19	1.18	28.24	36.28	0.03	4.0027	1.249951E-2	0.00	0.00	0.00	0.20	-0.99	2.36	82.80	24° 25'52.92N	81° 30'49.80W	0.00	0.00	0.00	0.00	-22.03	0.02
14:52:04.87	1.11	1.10	28.24	36.28	0.03	4.0050	1.111127E-2	0.00	0.00	0.00	0.20	-11.74	4.19	95.30	24° 25'52.92N	81° 30'49.80W	0.00	0.00	0.00	0.00	-22.04	0.01
14:52:05.42	1.15	1.14	28.25	36.28	0.03	3.9865	1.164163E-2	0.00	0.00	0.00	0.20	-11.74	4.19	95.30	24° 25'52.92N	81° 30'49.50W	0.00	0.00	0.00	0.00	-22.04	0.01
14:52:05.97	1.33	1.32	28.24	36.28	0.03	3.9651	1.360286E-2	0.00	0.00	0.00	0.10	-5.56	6.62	93.70	24° 25'52.92N	81° 30'49.50W	0.00	0.00	0.00	0.00	-22.04	0.01
14:52:06.55	1.35	1.34	28.24	36.28	0.03	3.9355	1.146032E-2	0.00	0.00	0.00	0.20	-2.58	5.37	87.70	24° 25'52.92N	81° 30'49.50W	0.00	0.00	0.00	0.00	-22.05	0.01
14:52:07.10	1.28	1.27	28.24	36.28	0.03	3.9126	1.127386E-2	0.00	0.00	0.00	0.20	-2.58	5.37	87.70	24° 25'52.92N	81° 30'49.50W	0.00	0.00	0.00	0.00	-22.04	0.01
14:52:07.66	1.19	1.18	28.24	36.28	0.03	3.9378	1.062238E-2	0.00	0.00	0.00	0.60	-6.71	1.28	87.30	24° 25'52.92N	81° 30'49.50W	0.00	0.00	0.00	0.00	-22.04	0.01
14:52:09.88	1.36	1.35	28.25	36.28	0.03	3.8498	9.730908E-3	0.00	0.00	0.00	0.20	-1.61	3.99	92.10	24° 25'52.92N	81° 30'49.14W	0.00	0.00	0.00	0.00	-21.68	0.02
