Cruise# ostrich20`1ostrich2014
Date: 05/28/14

CTD probe# 1
DVL# 2
Oxy Probe# 3
Fluorometer# 4
Irradiance Probe# 5
Flight Selection = Depth Undulate 
 
Time	Pressure (dbar)	Depth (m)	Temp (°C)	Salinity (PPT)	Fluoro (volts)	Oxygen (ml/l)	Irrandiance (UE/cm²)	Horizontal vel in water (m/s)	Vertical vel (m/s)	Vol imaged (m3)	Altitude (m)	Pitch (°)	Roll (°)	Heading (°)	Lat (decimals)	Long (decimals)	Rel Normal Velocity (mm/s)	Trans Velocity (mm/s)	Long. Velocity (mm/s)	Normal Velocity (mm/s)	Wing Fin Angle (°)	Roll Fin Angle (°)
11:05:03.00	91.84	91.31	22.86	36.26	0.04	0.6857	1.255781E-4	276.00	1384.00	0.00	9999.99	-2.22	-2.09	97.40	No GPS Data	No GPS Data	16.00	16.00	276.00	1384.00	-31.58	-20.69
11:05:03.41	91.57	91.05	22.86	36.26	0.04	0.6860	1.250657E-4	655.00	1436.00	0.00	9999.99	-2.87	-2.20	94.90	No GPS Data	No GPS Data	4.00	4.00	655.00	1436.00	-5.19	-0.02
11:05:03.93	91.47	90.95	22.86	36.26	0.04	0.6849	1.237272E-4	655.00	1436.00	0.00	9999.99	-2.87	-2.20	94.90	No GPS Data	No GPS Data	4.00	4.00	655.00	1436.00	-5.20	-0.02
11:05:04.49	91.45	90.93	22.86	36.26	0.04	0.6841	1.231570E-4	655.00	1436.00	0.00	9999.99	-2.87	-2.20	94.90	No GPS Data	No GPS Data	4.00	4.00	655.00	1436.00	-5.20	-0.02
11:05:05.03	91.38	90.85	22.86	36.26	0.04	0.6842	1.269913E-4	655.00	934.00	0.00	9999.99	-6.27	-2.65	100.60	No GPS Data	No GPS Data	-327.00	-327.00	655.00	934.00	-5.20	-0.02
11:05:05.57	91.38	90.85	22.86	36.26	0.04	0.6890	1.292475E-4	655.00	934.00	0.00	9999.99	-6.27	-2.65	100.60	No GPS Data	No GPS Data	-327.00	-327.00	655.00	934.00	-5.19	-0.02
11:05:06.11	91.12	90.60	22.86	36.26	0.04	0.6876	1.307234E-4	411.00	157.00	0.00	9999.99	-0.30	-2.55	93.30	No GPS Data	No GPS Data	-13.00	-13.00	411.00	157.00	-5.19	-0.01
11:05:06.64	90.97	90.45	22.87	36.26	0.04	0.6840	1.299274E-4	411.00	157.00	0.00	9999.99	-0.30	-2.55	93.30	No GPS Data	No GPS Data	-13.00	-13.00	411.00	157.00	-5.19	-0.02
11:05:07.18	90.89	90.37	22.88	36.26	0.04	0.6894	1.305504E-4	-257.00	1302.00	0.00	78.90	-5.93	-1.71	99.30	No GPS Data	No GPS Data	-1229.00	-3.00	-256.00	1965.00	-5.19	-0.01
11:05:07.73	90.79	90.27	22.87	36.26	0.04	0.6894	1.320170E-4	-257.00	1302.00	0.00	78.90	-5.93	-1.71	99.30	No GPS Data	No GPS Data	-1229.00	-3.00	-256.00	1965.00	-5.20	-0.02
11:05:08.27	90.64	90.12	22.87	36.26	0.04	0.6915	1.308684E-4	194.00	1605.00	0.00	9999.99	-2.47	-1.61	95.80	No GPS Data	No GPS Data	-209.00	-209.00	194.00	1605.00	-5.19	-0.02
11:05:08.80	90.50	89.98	22.88	36.26	0.04	0.6885	1.308402E-4	194.00	1605.00	0.00	9999.99	-2.47	-1.61	95.80	No GPS Data	No GPS Data	-209.00	-209.00	194.00	1605.00	-5.20	-0.01
11:05:09.35	90.50	89.98	22.88	36.26	0.04	0.6853	1.323867E-4	194.00	1605.00	0.00	9999.99	-2.47	-1.61	95.80	No GPS Data	No GPS Data	-209.00	-209.00	194.00	1605.00	-5.19	-0.02
11:05:09.89	90.35	89.83	22.88	36.26	0.04	0.6833	1.357073E-4	173.00	1196.00	0.00	9999.99	-2.14	-2.99	93.80	No GPS Data	No GPS Data	-94.00	-94.00	173.00	1196.00	-5.19	-0.01
11:05:10.43	90.26	89.75	22.88	36.26	0.04	0.6852	1.366853E-4	173.00	1196.00	0.00	9999.99	-2.14	-2.99	93.80	No GPS Data	No GPS Data	-94.00	-94.00	173.00	1196.00	-5.20	-0.03
11:05:10.98	90.15	89.64	22.91	36.26	0.04	0.6881	1.360220E-4	-181.00	1011.00	0.00	9999.99	-4.80	-2.91	98.00	No GPS Data	No GPS Data	-60.00	-60.00	-181.00	1011.00	-5.19	-0.02
11:05:11.52	90.03	89.52	22.92	36.27	0.04	0.6865	1.349839E-4	-181.00	1011.00	0.00	9999.99	-4.80	-2.91	98.00	No GPS Data	No GPS Data	-60.00	-60.00	-181.00	1011.00	-5.19	-0.02
11:05:12.09	89.91	89.40	22.92	36.26	0.04	0.6861	1.337675E-4	-181.00	1011.00	0.00	9999.99	-4.80	-2.91	98.00	No GPS Data	No GPS Data	-60.00	-60.00	-181.00	1011.00	-5.20	-0.02
11:05:12.64	89.80	89.29	22.95	36.27	0.04	0.6845	1.351426E-4	1169.00	1619.00	0.00	9999.99	-3.58	-1.18	96.10	No GPS Data	No GPS Data	291.00	291.00	1169.00	1619.00	-5.19	-0.02
11:05:13.20	89.69	89.18	22.96	36.27	0.04	0.6855	1.376932E-4	1169.00	1619.00	0.00	9999.99	-3.58	-1.18	96.10	No GPS Data	No GPS Data	291.00	291.00	1169.00	1619.00	-5.20	-0.01
11:05:13.73	89.69	89.18	22.96	36.27	0.04	0.6879	1.396041E-4	269.00	1157.00	0.00	9999.99	-4.44	-1.27	97.00	No GPS Data	No GPS Data	-720.00	-720.00	269.00	1157.00	-5.19	-0.02
11:05:14.28	89.59	89.07	22.95	36.27	0.04	0.6855	1.416187E-4	269.00	1157.00	0.00	9999.99	-4.44	-1.27	97.00	No GPS Data	No GPS Data	-720.00	-720.00	269.00	1157.00	-5.19	-0.02
11:05:14.82	89.48	88.97	22.95	36.27	0.04	0.6879	1.421539E-4	269.00	1157.00	0.00	9999.99	-4.44	-1.27	97.00	No GPS Data	No GPS Data	-720.00	-720.00	269.00	1157.00	-5.19	-0.02
11:05:15.36	89.34	88.83	22.98	36.27	0.04	0.6826	1.428068E-4	465.00	626.00	0.00	9999.99	-2.15	-1.55	93.70	No GPS Data	No GPS Data	-52.00	-52.00	465.00	626.00	-5.20	-0.02
11:05:15.92	89.22	88.71	22.98	36.27	0.04	0.6853	1.416515E-4	465.00	626.00	0.00	9999.99	-2.15	-1.55	93.70	No GPS Data	No GPS Data	-52.00	-52.00	465.00	626.00	-5.19	-0.02
11:05:16.45	89.13	88.62	22.99	36.27	0.04	0.6887	1.420105E-4	631.00	1233.00	0.00	9999.99	-5.68	-2.64	98.10	No GPS Data	No GPS Data	33.00	33.00	631.00	1233.00	-5.19	-0.02
11:05:16.99	89.06	88.55	22.99	36.27	0.04	0.6883	1.429794E-4	631.00	1233.00	0.00	9999.99	-5.68	-2.64	98.10	No GPS Data	No GPS Data	33.00	33.00	631.00	1233.00	-5.19	-0.02
11:05:17.54	88.92	88.42	22.99	36.27	0.04	0.6884	1.452634E-4	-86.00	1603.00	0.00	9999.99	-2.46	-2.75	95.60	No GPS Data	No GPS Data	-74.00	-74.00	-86.00	1603.00	-5.19	-0.02
11:05:18.08	88.92	88.42	22.99	36.27	0.04	0.6901	1.458823E-4	-86.00	1603.00	0.00	9999.99	-2.46	-2.75	95.60	No GPS Data	No GPS Data	-74.00	-74.00	-86.00	1603.00	-5.19	-0.02
11:05:18.62	88.77	88.26	23.05	36.27	0.04	0.6863	1.460271E-4	-86.00	1603.00	0.00	9999.99	-2.46	-2.75	95.60	No GPS Data	No GPS Data	-74.00	-74.00	-86.00	1603.00	-5.19	-0.02
11:05:19.17	88.64	88.13	23.05	36.27	0.04	0.6867	1.459040E-4	638.00	1326.00	0.00	9999.99	-4.92	-2.22	96.80	No GPS Data	No GPS Data	41.00	41.00	638.00	1326.00	-5.19	-0.02
11:05:19.71	88.55	88.05	23.08	36.28	0.04	0.6833	1.466492E-4	638.00	1326.00	0.00	9999.99	-4.92	-2.22	96.80	No GPS Data	No GPS Data	41.00	41.00	638.00	1326.00	-5.19	-0.02
11:05:20.25	88.47	87.97	23.13	36.28	0.04	0.6852	1.482517E-4	441.00	132.00	0.00	9999.99	-3.92	-1.30	95.90	No GPS Data	No GPS Data	-44.00	-44.00	441.00	132.00	-5.19	-0.01
11:05:20.78	88.37	87.86	23.17	36.28	0.04	0.6848	1.494111E-4	441.00	132.00	0.00	9999.99	-3.92	-1.30	95.90	No GPS Data	No GPS Data	-44.00	-44.00	441.00	132.00	-5.19	-0.02
11:05:21.33	88.25	87.75	23.20	36.28	0.04	0.6877	1.496708E-4	441.00	132.00	0.00	9999.99	-3.92	-1.30	95.90	No GPS Data	No GPS Data	-44.00	-44.00	441.00	132.00	-5.19	-0.02
